ReleaseID,File Name,Size,LOCAdded,AvgLOCAdded,MaxLOCAdded,Churn,AvgChurn,MaxChurn,Buggy
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,103,98,32.666666666666664,94,2,0.6666666666666666,1,YES
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,211,96,24.0,64,10,2.5,6,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,806,220,16.923076923076923,81,481,37.0,194,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,72,29,14.5,29,11,5.5,11,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,134,15,5.0,12,12,4.0,8,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,359,162,20.25,104,64,8.0,40,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,144,6,1.5,2,80,20.0,75,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,473,70,11.666666666666666,26,21,3.5,16,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,114,19,4.75,14,16,4.0,15,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,133,7,3.5,6,6,3.0,6,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,106,0,0.0,0,0,0.0,0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,43,132,33.0,113,15,3.75,13,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,238,9,3.0,8,22,7.333333333333333,12,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,244,492,61.5,401,138,17.25,59,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,393,203,40.6,121,168,33.6,77,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,154,7,2.3333333333333335,4,1,0.3333333333333333,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,33,3,3.0,3,0,0.0,0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,145,22,5.5,16,1,0.25,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,12,5,2.5,4,0,0.0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,95,53,7.571428571428571,26,14,2.0,12,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,34,11,3.6666666666666665,7,1,0.3333333333333333,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,53,49,24.5,46,1,0.5,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,537,700,63.63636363636363,520,223,20.272727272727273,75,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,180,40,6.666666666666667,16,54,9.0,28,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,121,63,7.875,17,31,3.875,18,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,145,28,5.6,9,18,3.6,9,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,50,9,3.0,7,0,0.0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,125,17,5.666666666666667,11,27,9.0,26,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,140,20,6.666666666666667,17,3,1.0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,78,24,4.8,10,6,1.2,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,51,0,0.0,0,0,0.0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,59,1,1.0,1,0,0.0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,61,1,1.0,1,0,0.0,0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,47,1,1.0,1,44,44.0,44,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,80,8,2.6666666666666665,6,0,0.0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,178,20,6.666666666666667,11,0,0.0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,163,2,2.0,2,2,2.0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,131,0,0.0,0,0,0.0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,358,0,0.0,0,0,0.0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,139,0,0.0,0,0,0.0,0,NO
