DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,1,43.67245657568238,RandomForest,None,None,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,None,None,0.08196721311475409,0.04672897196261682,0.18228193146417446,-0.42994976477154934,5.0,56.0,64.0,102.0
BOOKKEEPER,1,43.67245657568238,IBk,None,None,None,NaN,0.0,0.5063084112149533,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),None,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),None,None,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),None,None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,OverSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,OverSampling,None,0.20253164556962025,0.14953271028037382,0.19972741433021807,-0.38086585558540037,16.0,63.0,57.0,91.0
BOOKKEEPER,1,43.67245657568238,IBk,None,OverSampling,None,NaN,0.0,0.5592289719626168,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,UnderSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,UnderSampling,None,0.08196721311475409,0.04672897196261682,0.18259345794392523,-0.42994976477154934,5.0,56.0,64.0,102.0
BOOKKEEPER,1,43.67245657568238,IBk,None,UnderSampling,None,NaN,0.0,0.5063084112149533,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,SMOTE,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,SMOTE,None,0.08196721311475409,0.04672897196261682,0.18228193146417446,-0.42994976477154934,5.0,56.0,64.0,102.0
BOOKKEEPER,1,43.67245657568238,IBk,None,SMOTE,None,NaN,0.0,0.5063084112149533,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,None,SensitiveLearning,0.08196721311475409,0.04672897196261682,0.18228193146417446,-0.42994976477154934,5.0,56.0,64.0,102.0
BOOKKEEPER,1,43.67245657568238,IBk,None,None,SensitiveLearning,NaN,0.0,0.5063084112149533,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.29559968847352025,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.58648753894081,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),SMOTE,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),SMOTE,None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,None,None,0.6666666666666666,0.02666666666666667,0.6867231638418079,0.03335013440860223,2.0,1.0,235.0,73.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,None,None,0.18292682926829268,0.6,0.4243785310734463,-0.14158363922391196,45.0,201.0,35.0,30.0
BOOKKEEPER,2,56.44257703081232,IBk,None,None,None,0.2222222222222222,0.02666666666666667,0.563502824858757,-0.004278679260515135,2.0,7.0,229.0,73.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),None,None,0.5,0.09333333333333334,0.6799717514124294,0.0881191602486415,7.0,7.0,229.0,68.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),None,None,0.8421052631578947,0.21333333333333335,0.7251129943502825,0.26917828987265013,16.0,3.0,233.0,59.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),None,None,0.45454545454545453,0.13333333333333333,0.6733050847457627,0.10868351509286484,10.0,12.0,224.0,65.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,OverSampling,None,0.25,0.05333333333333334,0.6715254237288135,0.003397552218060977,4.0,12.0,224.0,71.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,OverSampling,None,0.19101123595505617,0.68,0.43748587570621467,-0.12558812884545784,51.0,216.0,20.0,24.0
BOOKKEEPER,2,56.44257703081232,IBk,None,OverSampling,None,0.36363636363636365,0.05333333333333334,0.595819209039548,0.03339177558176582,4.0,7.0,229.0,71.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,UnderSampling,None,0.36923076923076925,0.32,0.6473728813559322,0.15324060372891382,24.0,41.0,195.0,51.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,UnderSampling,None,0.48717948717948717,0.25333333333333335,0.5161016949152543,0.2015943791379544,19.0,20.0,216.0,56.0
BOOKKEEPER,2,56.44257703081232,IBk,None,UnderSampling,None,0.3333333333333333,0.24,0.5469491525423729,0.09669258877541442,18.0,36.0,200.0,57.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,SMOTE,None,0.29411764705882354,0.06666666666666667,0.6632485875706214,0.021487222776455987,5.0,12.0,224.0,70.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,SMOTE,None,0.19172932330827067,0.68,0.4487005649717514,-0.1236262490362958,51.0,215.0,21.0,24.0
BOOKKEEPER,2,56.44257703081232,IBk,None,SMOTE,None,0.25,0.04,0.5649435028248587,0.0026131369521323225,3.0,9.0,227.0,72.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,None,SensitiveLearning,0.23076923076923078,0.04,0.6694067796610169,-0.0033047446691321074,3.0,10.0,226.0,72.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,None,SensitiveLearning,0.1895910780669145,0.68,0.4243785310734463,-0.12948344688897565,51.0,218.0,18.0,24.0
BOOKKEEPER,2,56.44257703081232,IBk,None,None,SensitiveLearning,0.2222222222222222,0.02666666666666667,0.563502824858757,-0.004278679260515135,2.0,7.0,229.0,73.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),OverSampling,None,0.45,0.24,0.6623446327683615,0.17456744498572155,18.0,22.0,214.0,57.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,0.3401360544217687,0.6666666666666666,0.7205367231638418,0.1925859720803541,50.0,97.0,139.0,25.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),OverSampling,None,0.4375,0.18666666666666668,0.6934180790960452,0.13723355690557293,14.0,18.0,218.0,61.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),UnderSampling,None,0.3888888888888889,0.37333333333333335,0.66454802259887,0.1894779047455396,28.0,44.0,192.0,47.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,0.3080568720379147,0.8666666666666667,0.7167514124293786,0.15323931862608212,65.0,146.0,90.0,10.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),UnderSampling,None,0.43548387096774194,0.36,0.6737853107344632,0.2249977482210946,27.0,35.0,201.0,48.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.5652173913043478,0.17333333333333334,0.6717514124293785,0.17152582507029734,13.0,10.0,226.0,62.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.45555555555555555,0.5466666666666666,0.723954802259887,0.3173872801798228,41.0,49.0,187.0,34.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),SMOTE,None,0.41379310344827586,0.16,0.6714689265536723,0.11123812245481171,12.0,17.0,219.0,63.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.4594594594594595,0.22666666666666666,0.6773446327683615,0.17157297998770557,17.0,20.0,216.0,58.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.43010752688172044,0.5333333333333333,0.7251129943502825,0.2853934931328009,40.0,53.0,183.0,35.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.45454545454545453,0.13333333333333333,0.6733050847457627,0.10868351509286484,10.0,12.0,224.0,65.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,None,None,0.2571428571428571,0.16666666666666666,0.6887911013323554,0.09452363090772689,9.0,26.0,277.0,45.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,None,None,0.07692307692307693,0.018518518518518517,0.7562645153404229,-0.030646235842771354,1.0,12.0,291.0,53.0
BOOKKEEPER,3,66.66666666666667,IBk,None,None,None,0.23728813559322035,0.25925925925925924,0.6577129935215744,0.1066855073743707,14.0,45.0,258.0,40.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Bi-directional),None,None,0.24390243902439024,0.18518518518518517,0.6937721549932772,0.09197273374707504,10.0,31.0,272.0,44.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Bi-directional),None,None,0.0,0.0,0.7819643075418653,-0.010922330097087504,0.0,2.0,301.0,54.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Bi-directional),None,None,0.2602739726027397,0.35185185185185186,0.6739701747952573,0.15170204245094107,19.0,54.0,249.0,35.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,OverSampling,None,0.25806451612903225,0.2962962962962963,0.6630913091309131,0.1361908053923262,16.0,46.0,257.0,38.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,OverSampling,None,0.06666666666666667,0.018518518518518517,0.7761276127612762,-0.03936905227480118,1.0,14.0,289.0,53.0
BOOKKEEPER,3,66.66666666666667,IBk,None,OverSampling,None,0.24324324324324326,0.3333333333333333,0.6135558000244469,0.12889879057924902,18.0,56.0,247.0,36.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,UnderSampling,None,0.1953125,0.46296296296296297,0.6292018090697958,0.0787096774193547,25.0,103.0,200.0,29.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,UnderSampling,None,0.0625,0.018518518518518517,0.6967363403006968,-0.04359040495228242,1.0,15.0,288.0,53.0
BOOKKEEPER,3,66.66666666666667,IBk,None,UnderSampling,None,0.2076923076923077,0.5,0.6141058550299474,0.10141728624535314,27.0,103.0,200.0,27.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,SMOTE,None,0.17857142857142858,0.18518518518518517,0.6248624862486248,0.03286978508217462,10.0,46.0,257.0,44.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,SMOTE,None,0.07142857142857142,0.018518518518518517,0.7550727294951718,-0.03505535055350578,1.0,13.0,290.0,53.0
BOOKKEEPER,3,66.66666666666667,IBk,None,SMOTE,None,0.21739130434782608,0.2777777777777778,0.6508067473414008,0.08936065169094047,15.0,54.0,249.0,39.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,None,SensitiveLearning,0.2283464566929134,0.5370370370370371,0.6374220755408874,0.1373253963576355,29.0,98.0,205.0,25.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,None,SensitiveLearning,0.07142857142857142,0.018518518518518517,0.7562645153404229,-0.03505535055350578,1.0,13.0,290.0,53.0
BOOKKEEPER,3,66.66666666666667,IBk,None,None,SensitiveLearning,0.18666666666666668,0.25925925925925924,0.6577129935215744,0.04995652517587561,14.0,61.0,242.0,40.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Bi-directional),OverSampling,None,0.25742574257425743,0.48148148148148145,0.6733284439555066,0.1723276385981498,26.0,75.0,228.0,28.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,0.2,0.037037037037037035,0.7342317565089842,0.015986769570011525,2.0,8.0,295.0,52.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Bi-directional),OverSampling,None,0.21568627450980393,0.4074074074074074,0.6540459601515707,0.10502283105022839,22.0,80.0,223.0,32.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Bi-directional),UnderSampling,None,0.19411764705882353,0.6111111111111112,0.637269282483804,0.08443708609271532,33.0,137.0,166.0,21.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,0.3684210526315789,0.12962962962962962,0.7354846595770688,0.12270398600524837,7.0,12.0,291.0,47.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Bi-directional),UnderSampling,None,0.1891891891891892,0.6481481481481481,0.6058855885588559,0.07667232909416469,35.0,150.0,153.0,19.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.234375,0.2777777777777778,0.6746730228578414,0.10785483046515582,15.0,49.0,254.0,39.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.25,0.018518518518518517,0.7735606894022735,0.01390944066291835,1.0,3.0,300.0,53.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Bi-directional),SMOTE,None,0.2625,0.3888888888888889,0.6749174917491749,0.162100107148324,21.0,59.0,244.0,33.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.22950819672131148,0.5185185185185185,0.6479342378682312,0.13726437892701773,28.0,94.0,209.0,26.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.2,0.018518518518518517,0.7819643075418653,0.008478292647273716,1.0,4.0,299.0,53.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.21348314606741572,0.35185185185185186,0.6739701747952573,0.09541736045754014,19.0,70.0,233.0,35.0
BOOKKEEPER,4,73.96408839779005,RandomForest,None,None,None,0.3333333333333333,0.25,0.714095744680851,0.19821352615908144,12.0,24.0,305.0,36.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,None,None,None,0.25,0.020833333333333332,0.8512537993920972,0.019250780437044916,1.0,3.0,326.0,47.0
