DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,1,43.67245657568238,RandomForest,None,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,None,0.08196721311475409,0.04672897196261682,0.18235981308411214,-0.42994976477154934,5.0,56.0,64.0,102.0
BOOKKEEPER,1,43.67245657568238,IBk,None,None,NaN,0.0,0.5104750778816199,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Backward),None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Backward),None,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Backward),None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Forward),None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Forward),None,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Forward),None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),None,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,OverSampling,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,OverSampling,0.14705882352941177,0.09345794392523364,0.1898753894080997,-0.3977277241488896,10.0,58.0,62.0,97.0
BOOKKEEPER,1,43.67245657568238,IBk,None,OverSampling,NaN,0.0,0.3560358255451713,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,UnderSampling,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,UnderSampling,0.08196721311475409,0.04672897196261682,0.18204828660436137,-0.42994976477154934,5.0,56.0,64.0,102.0
BOOKKEEPER,1,43.67245657568238,IBk,None,UnderSampling,NaN,0.0,0.5104750778816199,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,SyntheticMinorityOversampling,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,SyntheticMinorityOversampling,0.08196721311475409,0.04672897196261682,0.18235981308411214,-0.42994976477154934,5.0,56.0,64.0,102.0
BOOKKEEPER,1,43.67245657568238,IBk,None,SyntheticMinorityOversampling,NaN,0.0,0.5104750778816199,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Backward),OverSampling,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Backward),OverSampling,NaN,0.0,0.3158489096573209,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Backward),OverSampling,NaN,0.0,0.6103582554517134,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Backward),UnderSampling,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Backward),UnderSampling,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Backward),UnderSampling,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Backward),SyntheticMinorityOversampling,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Backward),SyntheticMinorityOversampling,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Backward),SyntheticMinorityOversampling,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Forward),OverSampling,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Forward),OverSampling,NaN,0.0,0.3158489096573209,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Forward),OverSampling,NaN,0.0,0.6103582554517134,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Forward),UnderSampling,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Forward),UnderSampling,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Forward),UnderSampling,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Forward),SyntheticMinorityOversampling,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Forward),SyntheticMinorityOversampling,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Forward),SyntheticMinorityOversampling,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),OverSampling,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),OverSampling,NaN,0.0,0.3158489096573209,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),OverSampling,NaN,0.0,0.6103582554517134,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),UnderSampling,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),UnderSampling,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),UnderSampling,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),SyntheticMinorityOversampling,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),SyntheticMinorityOversampling,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),SyntheticMinorityOversampling,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,None,0.3333333333333333,0.013333333333333334,0.6716949152542373,0.007224462365591285,1.0,2.0,234.0,74.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,None,0.17040358744394618,0.5066666666666667,0.4189265536723164,-0.16569865604106165,38.0,185.0,51.0,37.0
BOOKKEEPER,2,56.44257703081232,IBk,None,None,0.2222222222222222,0.02666666666666667,0.563502824858757,-0.004278679260515135,2.0,7.0,229.0,73.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Backward),None,0.5,0.013333333333333334,0.6581073446327683,0.013616949295893457,1.0,1.0,235.0,74.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Backward),None,0.45,0.12,0.4280508474576271,0.09787153889621422,9.0,11.0,225.0,66.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Backward),None,0.25,0.02666666666666667,0.5675706214689266,0.0017876731808391224,2.0,6.0,230.0,73.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Forward),None,0.5,0.013333333333333334,0.6581073446327683,0.013616949295893457,1.0,1.0,235.0,74.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Forward),None,0.45,0.12,0.4280508474576271,0.09787153889621422,9.0,11.0,225.0,66.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Forward),None,0.25,0.02666666666666667,0.5675706214689266,0.0017876731808391224,2.0,6.0,230.0,73.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),None,0.5,0.09333333333333334,0.6642372881355932,0.0881191602486415,7.0,7.0,229.0,68.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),None,0.8421052631578947,0.21333333333333335,0.7251129943502825,0.26917828987265013,16.0,3.0,233.0,59.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),None,0.45454545454545453,0.13333333333333333,0.6733050847457627,0.10868351509286484,10.0,12.0,224.0,65.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,OverSampling,0.2857142857142857,0.02666666666666667,0.6454519774011299,0.007933911336495963,2.0,5.0,231.0,73.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,OverSampling,0.19029850746268656,0.68,0.41635593220338984,-0.1275405051675116,51.0,217.0,19.0,24.0
BOOKKEEPER,2,56.44257703081232,IBk,None,OverSampling,0.36363636363636365,0.05333333333333334,0.5759887005649718,0.03339177558176582,4.0,7.0,229.0,71.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,UnderSampling,0.4117647058823529,0.37333333333333335,0.7172598870056497,0.21054474367577974,28.0,40.0,196.0,47.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,UnderSampling,0.48717948717948717,0.25333333333333335,0.5395762711864407,0.2015943791379544,19.0,20.0,216.0,56.0
BOOKKEEPER,2,56.44257703081232,IBk,None,UnderSampling,0.3333333333333333,0.28,0.5815254237288136,0.10792398709214762,21.0,42.0,194.0,54.0
BOOKKEEPER,2,56.44257703081232,RandomForest,None,SyntheticMinorityOversampling,0.3333333333333333,0.09333333333333334,0.6504237288135594,0.04508350183479376,7.0,14.0,222.0,68.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,None,SyntheticMinorityOversampling,0.17768595041322313,0.5733333333333334,0.44508474576271184,-0.15338674201679323,43.0,199.0,37.0,32.0
BOOKKEEPER,2,56.44257703081232,IBk,None,SyntheticMinorityOversampling,0.2777777777777778,0.06666666666666667,0.5678248587570621,0.0156351294664989,5.0,13.0,223.0,70.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Backward),OverSampling,0.5714285714285714,0.05333333333333334,0.637542372881356,0.058809095370522174,4.0,3.0,233.0,71.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Backward),OverSampling,0.22857142857142856,0.32,0.42686440677966103,-0.02043251304996258,24.0,81.0,155.0,51.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Backward),OverSampling,0.4,0.05333333333333334,0.5751412429378531,0.03962301985161425,4.0,6.0,230.0,71.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Backward),UnderSampling,0.39705882352941174,0.36,0.7166666666666667,0.19239634697867108,27.0,41.0,195.0,48.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Backward),UnderSampling,0.5,0.21333333333333335,0.5004802259887006,0.18091793377111348,16.0,16.0,220.0,59.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Backward),UnderSampling,0.28125,0.24,0.5547457627118644,0.04745903833001274,18.0,46.0,190.0,57.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Backward),SyntheticMinorityOversampling,0.4,0.05333333333333334,0.6405084745762711,0.03962301985161425,4.0,6.0,230.0,71.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Backward),SyntheticMinorityOversampling,0.3541666666666667,0.22666666666666666,0.4527401129943503,0.10865294818536031,17.0,31.0,205.0,58.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Backward),SyntheticMinorityOversampling,0.25,0.04,0.5669491525423729,0.0026131369521323225,3.0,9.0,227.0,72.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Forward),OverSampling,0.5714285714285714,0.05333333333333334,0.637542372881356,0.058809095370522174,4.0,3.0,233.0,71.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Forward),OverSampling,0.22857142857142856,0.32,0.42686440677966103,-0.02043251304996258,24.0,81.0,155.0,51.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Forward),OverSampling,0.4,0.05333333333333334,0.5751412429378531,0.03962301985161425,4.0,6.0,230.0,71.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Forward),UnderSampling,0.39705882352941174,0.36,0.7166666666666667,0.19239634697867108,27.0,41.0,195.0,48.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Forward),UnderSampling,0.5,0.21333333333333335,0.5004802259887006,0.18091793377111348,16.0,16.0,220.0,59.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Forward),UnderSampling,0.28125,0.24,0.5547457627118644,0.04745903833001274,18.0,46.0,190.0,57.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Forward),SyntheticMinorityOversampling,0.4,0.05333333333333334,0.6405084745762711,0.03962301985161425,4.0,6.0,230.0,71.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Forward),SyntheticMinorityOversampling,0.3541666666666667,0.22666666666666666,0.4527401129943503,0.10865294818536031,17.0,31.0,205.0,58.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Forward),SyntheticMinorityOversampling,0.25,0.04,0.5669491525423729,0.0026131369521323225,3.0,9.0,227.0,72.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),OverSampling,0.40540540540540543,0.2,0.6674858757062146,0.12908954306399825,15.0,22.0,214.0,60.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),OverSampling,0.3769230769230769,0.6533333333333333,0.7207062146892655,0.248062365834369,49.0,81.0,155.0,26.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),OverSampling,0.5,0.17333333333333334,0.6719209039548023,0.15215731889062553,13.0,13.0,223.0,62.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),UnderSampling,0.44594594594594594,0.44,0.6719491525423729,0.2674877266664774,33.0,41.0,195.0,42.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),UnderSampling,0.5208333333333334,0.3333333333333333,0.738954802259887,0.26889511480372263,25.0,23.0,213.0,50.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),UnderSampling,0.44594594594594594,0.44,0.6911016949152542,0.2674877266664774,33.0,41.0,195.0,42.0
BOOKKEEPER,2,56.44257703081232,RandomForest,BestFirst(Bi-directional),SyntheticMinorityOversampling,0.5652173913043478,0.17333333333333334,0.6688700564971751,0.17152582507029734,13.0,10.0,226.0,62.0
BOOKKEEPER,2,56.44257703081232,NaiveBayes,BestFirst(Bi-directional),SyntheticMinorityOversampling,0.45555555555555555,0.5466666666666666,0.723954802259887,0.3173872801798228,41.0,49.0,187.0,34.0
BOOKKEEPER,2,56.44257703081232,IBk,BestFirst(Bi-directional),SyntheticMinorityOversampling,0.41379310344827586,0.16,0.6714689265536723,0.11123812245481171,12.0,17.0,219.0,63.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,None,0.15789473684210525,0.1111111111111111,0.6847879232367681,0.006263048016701777,6.0,32.0,271.0,48.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,None,0.07692307692307693,0.018518518518518517,0.7575479770199243,-0.030646235842771354,1.0,12.0,291.0,53.0
BOOKKEEPER,3,66.66666666666667,IBk,None,None,0.25,0.2777777777777778,0.6635496883021635,0.12361914781693811,15.0,45.0,258.0,39.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Backward),None,0.3,0.2777777777777778,0.7126879354602127,0.16736006051437213,15.0,35.0,268.0,39.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Backward),None,0.2,0.018518518518518517,0.772307786334189,0.008478292647273716,1.0,4.0,299.0,53.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Backward),None,0.2361111111111111,0.3148148148148148,0.6619606405084953,0.11723915497500428,17.0,55.0,248.0,37.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Forward),None,0.2857142857142857,0.25925925925925924,0.7069429165138736,0.1494329553035356,14.0,35.0,268.0,40.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Forward),None,0.0,0.0,0.772002200220022,-0.021308079313405868,0.0,4.0,299.0,54.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Forward),None,0.2361111111111111,0.3148148148148148,0.6619606405084953,0.11723915497500428,17.0,55.0,248.0,37.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Bi-directional),None,0.2857142857142857,0.25925925925925924,0.7069429165138736,0.1494329553035356,14.0,35.0,268.0,40.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Bi-directional),None,0.0,0.0,0.772002200220022,-0.021308079313405868,0.0,4.0,299.0,54.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst(Bi-directional),None,0.2361111111111111,0.3148148148148148,0.6619606405084953,0.11723915497500428,17.0,55.0,248.0,37.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,OverSampling,0.1919191919191919,0.35185185185185186,0.6374220755408874,0.06542375196339566,19.0,80.0,223.0,35.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,OverSampling,0.07142857142857142,0.018518518518518517,0.7033675589781201,-0.03505535055350578,1.0,13.0,290.0,53.0
BOOKKEEPER,3,66.66666666666667,IBk,None,OverSampling,0.20618556701030927,0.37037037037037035,0.6597604204864931,0.0875872072943288,20.0,77.0,226.0,34.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,UnderSampling,0.2288135593220339,0.5,0.6413641364136413,0.13427866831072746,27.0,91.0,212.0,27.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,UnderSampling,0.16666666666666666,0.05555555555555555,0.7233223322332233,0.00833333333333328,3.0,15.0,288.0,51.0
BOOKKEEPER,3,66.66666666666667,IBk,None,UnderSampling,0.24193548387096775,0.5555555555555556,0.6557572423909057,0.16006699365952862,30.0,94.0,209.0,24.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,SyntheticMinorityOversampling,0.13333333333333333,0.14814814814814814,0.6170089231145337,-0.022444327546905396,8.0,52.0,251.0,46.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,SyntheticMinorityOversampling,0.07142857142857142,0.018518518518518517,0.7472497249724972,-0.03505535055350578,1.0,13.0,290.0,53.0
BOOKKEEPER,3,66.66666666666667,IBk,None,SyntheticMinorityOversampling,0.22058823529411764,0.2777777777777778,0.6505317198386505,0.09295774647887341,15.0,53.0,250.0,39.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst(Backward),OverSampling,0.25471698113207547,0.5,0.681670944872265,0.17143983184445585,27.0,79.0,224.0,27.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst(Backward),OverSampling,0.3157894736842105,0.1111111111111111,0.7191663610805525,0.09296513807322299,6.0,13.0,290.0,48.0
