DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,None,None,weka.classifiers.trees.RandomForest,None,None,0.0125,0.006060606060606061,0.7019644356882189,0.1902712459521086,0.2,4.4,308.8,23.2
BOOKKEEPER,None,None,weka.classifiers.bayes.NaiveBayes,None,None,0.015778688524590165,0.0047544409613375135,0.682348142397795,-0.04596186034094055,0.4,49.8,576.6,46.4
BOOKKEEPER,None,None,weka.classifiers.lazy.IBk,None,None,0.052902748674966096,0.021603970741901773,0.6616275710147701,-0.018331833721610475,1.8,60.0,879.6,68.4
BOOKKEEPER,None,None,weka.classifiers.trees.RandomForest,Greedy backward search,None,0.059444951640005815,0.024233281086729362,0.6735313431389355,-0.00776772992797656,2.4,64.4,1188.4,91.2
BOOKKEEPER,None,None,weka.classifiers.bayes.NaiveBayes,Greedy backward search,None,0.05857915077420495,0.01938662486938349,0.6510755123542356,-0.0061773774857398775,2.4,71.6,1494.4,114.6
BOOKKEEPER,None,None,weka.classifiers.lazy.IBk,Greedy backward search,None,0.08505676985872032,0.042443399512365025,0.6532742253108201,0.019870399021545,5.8,86.0,1793.2,134.6
BOOKKEEPER,None,None,weka.classifiers.trees.RandomForest,None,Undersampling,0.07742889028502839,0.08263546798029556,0.6432815676483049,0.033811413698849976,11.6,144.0,2048.4,152.2
BOOKKEEPER,None,None,weka.classifiers.bayes.NaiveBayes,None,Undersampling,0.07779292638053656,0.08063479623824452,0.6256428071353187,0.024571984462790197,13.0,169.4,2336.2,174.2
BOOKKEEPER,None,None,weka.classifiers.lazy.IBk,None,Undersampling,0.07139989876183102,0.10034540810402878,0.6156329824607369,0.025422482969856986,18.4,227.8,2591.0,192.2
BOOKKEEPER,None,None,weka.classifiers.trees.RandomForest,Greedy backward search,Undersampling,0.07202271765643094,0.12268965517241379,0.6157579205726019,0.031441316636671025,24.2,287.2,2844.8,209.8
BOOKKEEPER,None,None,weka.classifiers.bayes.NaiveBayes,Greedy backward search,Undersampling,0.07258075787514287,0.11955257908235965,0.6163717717309795,0.03306705999916855,25.8,305.6,3139.6,231.6
BOOKKEEPER,None,None,weka.classifiers.lazy.IBk,Greedy backward search,Undersampling,0.07207553054289322,0.1401391065830721,0.6150645023101214,0.03658680719214238,32.8,372.2,3386.2,248.0
