DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,1,43.67245657568238,weka.classifiers.trees.RandomForest,None,None,0.0,0.0,0.5,0.0,0.0,0.0,169.0,58.0
BOOKKEEPER,2,56.44257703081232,weka.classifiers.trees.RandomForest,None,None,0.0,0.0,NaN,1.0,0.0,0.0,311.0,0.0
BOOKKEEPER,3,66.66666666666667,weka.classifiers.trees.RandomForest,None,None,0.0625,0.030303030303030304,0.7443883277216611,-0.02080671655411574,1.0,15.0,309.0,32.0
BOOKKEEPER,4,73.96408839779005,weka.classifiers.trees.RandomForest,None,None,0.0,0.0,0.7719346049046322,-0.015390534821085582,0.0,4.0,363.0,10.0
BOOKKEEPER,5,77.89133942980096,weka.classifiers.trees.RandomForest,None,None,0.0,0.0,0.7915348101265823,-0.012446518864255823,0.0,3.0,392.0,16.0
BOOKKEEPER,1,43.67245657568238,weka.classifiers.bayes.NaiveBayes,None,None,0.01639344262295082,0.008620689655172414,0.3783539073658437,-0.20004229223937395,1.0,60.0,278.0,115.0
BOOKKEEPER,2,56.44257703081232,weka.classifiers.bayes.NaiveBayes,None,None,0.0,0.0,NaN,0.0,0.0,166.0,456.0,0.0
BOOKKEEPER,3,66.66666666666667,weka.classifiers.bayes.NaiveBayes,None,None,0.0625,0.015151515151515152,0.7479423868312757,-0.012119923453115548,1.0,15.0,633.0,65.0
BOOKKEEPER,4,73.96408839779005,weka.classifiers.bayes.NaiveBayes,None,None,0.0,0.0,0.8017711171662125,-0.008920606601250972,0.0,4.0,730.0,20.0
BOOKKEEPER,5,77.89133942980096,weka.classifiers.bayes.NaiveBayes,None,None,0.0,0.0,0.8013251582278481,-0.00872647941096227,0.0,4.0,786.0,32.0
BOOKKEEPER,1,43.67245657568238,weka.classifiers.lazy.IBk,None,None,0.01639344262295082,0.005747126436781609,0.40783060146455374,-0.14311958330631747,1.0,60.0,447.0,173.0
BOOKKEEPER,2,56.44257703081232,weka.classifiers.lazy.IBk,None,None,0.0,0.0,NaN,0.0,0.0,171.0,762.0,0.0
BOOKKEEPER,3,66.66666666666667,weka.classifiers.lazy.IBk,None,None,0.14285714285714285,0.06060606060606061,0.7196398137756163,0.031788079470198155,6.0,36.0,936.0,93.0
BOOKKEEPER,4,73.96408839779005,weka.classifiers.lazy.IBk,None,None,0.0,0.0,0.7524523160762943,-0.01879920103395392,0.0,16.0,1085.0,30.0
BOOKKEEPER,5,77.89133942980096,weka.classifiers.lazy.IBk,None,None,0.10526315789473684,0.041666666666666664,0.766587552742616,0.03847153626202084,2.0,17.0,1168.0,46.0
BOOKKEEPER,1,43.67245657568238,weka.classifiers.trees.RandomForest,Greedy backward search,None,0.01639344262295082,0.004310344827586207,0.4374585543766578,-0.11141583242197352,1.0,60.0,616.0,231.0
BOOKKEEPER,2,56.44257703081232,weka.classifiers.trees.RandomForest,Greedy backward search,None,0.0,0.0,NaN,0.0,0.0,173.0,1071.0,0.0
