DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
OPENJPA,1,49.44297082228117,RandomForest,None,None,0.0,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,None,None,0.0,0.0,0.379054543807194,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,None,None,0.0,0.0,0.4973101839267917,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,GreedyStepwise_ForwardSearch,None,0.0,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,GreedyStepwise_ForwardSearch,None,0.0,0.0,0.6489195433541723,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,GreedyStepwise_ForwardSearch,None,0.0,0.0,0.7357015040318927,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,GreedyStepwise_BackwardsSearch,None,0.0,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,GreedyStepwise_BackwardsSearch,None,0.0,0.0,0.6489195433541723,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,GreedyStepwise_BackwardsSearch,None,0.0,0.0,0.7357015040318927,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,None,OverSampling,0.0,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,None,OverSampling,0.0,0.0,0.37903755549515267,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,None,OverSampling,0.0,0.0,0.4973101839267917,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,None,UnderSampling,0.0,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,None,UnderSampling,0.0,0.0,0.3790715321192353,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,None,UnderSampling,0.0,0.0,0.4973101839267917,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,GreedyStepwise_ForwardSearch,OverSampling,0.0,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,GreedyStepwise_ForwardSearch,OverSampling,0.0,0.0,0.6489195433541723,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,GreedyStepwise_ForwardSearch,OverSampling,0.0,0.0,0.7357015040318927,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,GreedyStepwise_ForwardSearch,UnderSampling,0.0,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,GreedyStepwise_ForwardSearch,UnderSampling,0.0,0.0,0.6489195433541723,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,GreedyStepwise_ForwardSearch,UnderSampling,0.0,0.0,0.7357015040318927,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,GreedyStepwise_BackwardsSearch,OverSampling,0.0,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,GreedyStepwise_BackwardsSearch,OverSampling,0.0,0.0,0.6489195433541723,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,GreedyStepwise_BackwardsSearch,OverSampling,0.0,0.0,0.7357015040318927,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,GreedyStepwise_BackwardsSearch,UnderSampling,0.0,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,GreedyStepwise_BackwardsSearch,UnderSampling,0.0,0.0,0.6489195433541723,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,GreedyStepwise_BackwardsSearch,UnderSampling,0.0,0.0,0.7357015040318927,0.0,0.0,0.0,849.0,104.0
OPENJPA,2,66.4200140944327,RandomForest,None,None,0.0,0.0,0.5248527574513654,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,NaiveBayes,None,None,0.7272727272727273,0.08791208791208792,0.7943831110884475,0.13913280954581658,8.0,3.0,859.0,83.0
OPENJPA,2,66.4200140944327,IBk,None,None,0.0,0.0,0.5,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,RandomForest,GreedyStepwise_ForwardSearch,None,0.0,0.0,0.5245404247724433,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,NaiveBayes,GreedyStepwise_ForwardSearch,None,0.7272727272727273,0.08791208791208792,0.7559853139899544,0.13913280954581658,8.0,3.0,859.0,83.0
OPENJPA,2,66.4200140944327,IBk,GreedyStepwise_ForwardSearch,None,0.0,0.0,0.4962456337166314,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,RandomForest,GreedyStepwise_BackwardsSearch,None,0.0,0.0,0.5245404247724433,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,NaiveBayes,GreedyStepwise_BackwardsSearch,None,0.7272727272727273,0.08791208791208792,0.7559853139899544,0.13913280954581658,8.0,3.0,859.0,83.0
OPENJPA,2,66.4200140944327,IBk,GreedyStepwise_BackwardsSearch,None,0.0,0.0,0.4962456337166314,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,RandomForest,None,OverSampling,0.0,0.0,0.5272366844292599,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,NaiveBayes,None,OverSampling,0.6923076923076923,0.0989010989010989,0.7943831110884475,0.15285386475926566,9.0,4.0,858.0,82.0
