DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
OPENJPA,None,None,weka.classifiers.trees.RandomForest,None,None,0.37158627376680126,0.05217298744575354,0.6641698662832545,0.07794082179147667,4.235294117647059,4.764705882352941,1070.0,73.11764705882354
OPENJPA,None,None,weka.classifiers.bayes.NaiveBayes,None,None,0.41302629702417126,0.10258684007508707,0.6643380440683743,0.1395008729051477,16.529411764705884,20.0,2129.529411764706,138.1764705882353
OPENJPA,None,None,weka.classifiers.lazy.IBk,None,None,0.39052094107168456,0.10125469303653159,0.6547161555698702,0.1354073963997966,24.352941176470587,32.1764705882353,3192.1176470588234,207.7058823529412
OPENJPA,None,None,weka.classifiers.trees.RandomForest,Greedy backward search,None,0.38993478173799373,0.09309301412126345,0.6432074883944946,0.1266763358398202,29.764705882352942,39.64705882352941,4259.411764705882,279.6470588235294
OPENJPA,None,None,weka.classifiers.bayes.NaiveBayes,Greedy backward search,None,0.3950991470143515,0.1156991353044081,0.6353502701233371,0.15112755374977357,46.11764705882353,62.705882352941174,5311.117647058823,340.6470588235294
OPENJPA,None,None,weka.classifiers.lazy.IBk,Greedy backward search,None,0.3871527657266453,0.11150354673541046,0.634400623323776,0.14587623372019295,53.23529411764706,75.0,6373.588235294118,410.88235294117646
OPENJPA,None,None,weka.classifiers.trees.RandomForest,None,Undersampling,0.2185631121242977,0.17536594287498378,0.6335324011152068,0.14770322981523507,97.17647058823529,298.0,7225.35294117647,444.29411764705884
OPENJPA,None,None,weka.classifiers.bayes.NaiveBayes,None,Undersampling,0.22809676324462058,0.17432198624140247,0.6343291557068294,0.15133031940062355,110.58823529411765,324.2352941176471,8273.882352941177,508.2352941176471
OPENJPA,None,None,weka.classifiers.lazy.IBk,None,Undersampling,0.18447262364086625,0.21379668727872264,0.6287050128782308,0.14144754037274726,152.47058823529412,587.7647058823529,9085.117647058823,543.7058823529412
OPENJPA,None,None,weka.classifiers.trees.RandomForest,Greedy backward search,Undersampling,0.17357355578652664,0.24573044617304712,0.6320111511022342,0.14217669725610108,194.64705882352942,810.6470588235294,9937.0,578.8823529411765
OPENJPA,None,None,weka.classifiers.bayes.NaiveBayes,Greedy backward search,Undersampling,0.18254660511156992,0.2518956471656934,0.6321447284116609,0.15125837417482538,219.11764705882354,860.9411764705883,10961.470588235294,631.7647058823529
OPENJPA,None,None,weka.classifiers.lazy.IBk,Greedy backward search,Undersampling,0.16858067574597096,0.2746110216338948,0.6313080416280454,0.14441231173552038,260.5882352941176,1129.764705882353,11767.411764705883,667.6470588235294
