DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,1,43.67245657568238,RandomForest,None,None,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,None,None,0.08196721311475409,0.04672897196261682,0.18197040498442368,-0.42994976477154934,5.0,56.0,64.0,102.0
BOOKKEEPER,1,43.67245657568238,IBk,None,None,None,NaN,0.0,0.5063084112149533,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Backward),None,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Backward),None,None,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Backward),None,None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Forward),None,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Forward),None,None,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Forward),None,None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),None,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),None,None,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),None,None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,OverSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,OverSampling,None,0.14705882352941177,0.09345794392523364,0.18991433021806853,-0.3977277241488896,10.0,58.0,62.0,97.0
BOOKKEEPER,1,43.67245657568238,IBk,None,OverSampling,None,NaN,0.0,0.36121495327102804,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,UnderSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,UnderSampling,None,0.08196721311475409,0.04672897196261682,0.1822429906542056,-0.42994976477154934,5.0,56.0,64.0,102.0
BOOKKEEPER,1,43.67245657568238,IBk,None,UnderSampling,None,NaN,0.0,0.5063084112149533,0.0,0.0,0.0,120.0,107.0
