DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
OPENJPA,1,49.44297082228117,RandomForest,None,None,None,NaN,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,None,None,None,NaN,0.0,0.3795868442511552,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,None,None,None,NaN,0.0,0.48820444867264656,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,BestFirst(Bi-directional),None,None,NaN,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,BestFirst(Bi-directional),None,None,NaN,0.0,0.6489195433541723,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,BestFirst(Bi-directional),None,None,NaN,0.0,0.7357015040318927,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,None,OverSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,None,OverSampling,None,NaN,0.0,0.3789073117695026,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,None,OverSampling,None,NaN,0.0,0.5265357434085349,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,None,UnderSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,None,UnderSampling,None,NaN,0.0,0.3795868442511552,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,None,UnderSampling,None,NaN,0.0,0.48820444867264656,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,None,SMOTE,None,NaN,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,None,SMOTE,None,NaN,0.0,0.3795868442511552,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,None,SMOTE,None,NaN,0.0,0.48820444867264656,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,None,None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,None,None,SensitiveLearning,NaN,0.0,0.3795868442511552,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,None,None,SensitiveLearning,NaN,0.0,0.48820444867264656,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.654882440880674,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.7105418138987044,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.6489195433541723,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.7357015040318927,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,BestFirst(Bi-directional),SMOTE,None,NaN,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,NaN,0.0,0.6489195433541723,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,BestFirst(Bi-directional),SMOTE,None,NaN,0.0,0.7357015040318927,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.6489195433541723,0.0,0.0,0.0,849.0,104.0
OPENJPA,1,49.44297082228117,IBk,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.7357015040318927,0.0,0.0,0.0,849.0,104.0
OPENJPA,2,66.4200140944327,RandomForest,None,None,None,NaN,0.0,0.5435417250962494,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,NaiveBayes,None,None,None,0.7,0.07692307692307693,0.7942556283623569,0.12201243209471278,7.0,3.0,859.0,84.0
OPENJPA,2,66.4200140944327,IBk,None,None,None,NaN,0.0,0.5,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,RandomForest,BestFirst(Bi-directional),None,None,NaN,0.0,0.5,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,NaiveBayes,BestFirst(Bi-directional),None,None,0.0,0.0,0.6766273169985467,-0.004123944938537803,0.0,2.0,860.0,91.0
OPENJPA,2,66.4200140944327,IBk,BestFirst(Bi-directional),None,None,NaN,0.0,0.4960034165370592,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,RandomForest,None,OverSampling,None,NaN,0.0,0.5277019963794906,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,NaiveBayes,None,OverSampling,None,0.7272727272727273,0.08791208791208792,0.7948165523571556,0.13913280954581658,8.0,3.0,859.0,83.0
OPENJPA,2,66.4200140944327,IBk,None,OverSampling,None,NaN,0.0,0.4184493001198338,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,RandomForest,None,UnderSampling,None,0.38461538461538464,0.054945054945054944,0.7274546798908748,0.07404957310896569,5.0,8.0,854.0,86.0
OPENJPA,2,66.4200140944327,NaiveBayes,None,UnderSampling,None,0.6153846153846154,0.17582417582417584,0.7812460161648097,0.24130599705907108,16.0,10.0,852.0,75.0
OPENJPA,2,66.4200140944327,IBk,None,UnderSampling,None,0.39215686274509803,0.21978021978021978,0.5919086713750287,0.228793119862905,20.0,31.0,831.0,71.0
OPENJPA,2,66.4200140944327,RandomForest,None,SMOTE,None,0.0,0.0,0.5479016343285484,-0.006132350959162114,0.0,3.0,859.0,91.0
OPENJPA,2,66.4200140944327,NaiveBayes,None,SMOTE,None,0.6666666666666666,0.06593406593406594,0.7943512404069248,0.10461019410219728,6.0,3.0,859.0,85.0
OPENJPA,2,66.4200140944327,IBk,None,SMOTE,None,0.0,0.0,0.4994199535962877,-0.002080142638352568,0.0,1.0,861.0,91.0
OPENJPA,2,66.4200140944327,RandomForest,None,None,SensitiveLearning,NaN,0.0,0.5342928533183754,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,NaiveBayes,None,None,SensitiveLearning,0.7272727272727273,0.08791208791208792,0.7942556283623569,0.13913280954581658,8.0,3.0,859.0,83.0
OPENJPA,2,66.4200140944327,IBk,None,None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,RandomForest,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,0.25,0.01098901098901099,0.6854172509624946,0.013117017604417816,1.0,3.0,859.0,90.0
OPENJPA,2,66.4200140944327,IBk,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.5472514724254863,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,RandomForest,BestFirst(Bi-directional),UnderSampling,None,0.45454545454545453,0.054945054945054944,0.5726779021442594,0.07907230788622256,5.0,6.0,856.0,86.0
OPENJPA,2,66.4200140944327,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,0.4666666666666667,0.07692307692307693,0.5648823334438183,0.1079684193390852,7.0,8.0,854.0,84.0
OPENJPA,2,66.4200140944327,IBk,BestFirst(Bi-directional),UnderSampling,None,0.5294117647058824,0.0989010989010989,0.5448101782208511,0.14083942702594435,9.0,8.0,854.0,82.0
OPENJPA,2,66.4200140944327,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.45454545454545453,0.054945054945054944,0.5653986384844853,0.07907230788622256,5.0,6.0,856.0,86.0
OPENJPA,2,66.4200140944327,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.25,0.01098901098901099,0.7147319038270314,0.013117017604417816,1.0,3.0,859.0,90.0
OPENJPA,2,66.4200140944327,IBk,BestFirst(Bi-directional),SMOTE,None,0.46153846153846156,0.06593406593406594,0.5239030111419902,0.09375064602154017,6.0,7.0,855.0,85.0
OPENJPA,2,66.4200140944327,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.4994199535962877,0.0,0.0,0.0,862.0,91.0
OPENJPA,2,66.4200140944327,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.3333333333333333,0.01098901098901099,0.6766273169985467,0.01527472033784054,1.0,2.0,860.0,90.0
OPENJPA,2,66.4200140944327,IBk,BestFirst(Bi-directional),None,SensitiveLearning,NaN,0.0,0.4960034165370592,0.0,0.0,0.0,862.0,91.0
OPENJPA,3,73.92550143266476,RandomForest,None,None,None,0.14285714285714285,0.019801980198019802,0.7147579757975797,0.010473162521039579,2.0,12.0,888.0,99.0
OPENJPA,3,73.92550143266476,NaiveBayes,None,None,None,0.75,0.0891089108910891,0.7395324532453246,0.14088120770808293,9.0,3.0,897.0,92.0
OPENJPA,3,73.92550143266476,IBk,None,None,None,0.26666666666666666,0.07920792079207921,0.6967216721672167,0.07960278561776879,8.0,22.0,878.0,93.0
OPENJPA,3,73.92550143266476,RandomForest,BestFirst(Bi-directional),None,None,0.125,0.009900990099009901,0.7202090209020902,0.0035909315025160833,1.0,7.0,893.0,100.0
OPENJPA,3,73.92550143266476,NaiveBayes,BestFirst(Bi-directional),None,None,0.7777777777777778,0.13861386138613863,0.7938943894389439,0.2112172354372501,14.0,4.0,896.0,87.0
OPENJPA,3,73.92550143266476,IBk,BestFirst(Bi-directional),None,None,0.21739130434782608,0.04950495049504951,0.7014576457645765,0.04489529453121072,5.0,18.0,882.0,96.0
OPENJPA,3,73.92550143266476,RandomForest,None,OverSampling,None,0.11627906976744186,0.04950495049504951,0.7269251925192519,0.009774247368187609,5.0,38.0,862.0,96.0
OPENJPA,3,73.92550143266476,NaiveBayes,None,OverSampling,None,0.75,0.0891089108910891,0.7355830583058306,0.14088120770808293,9.0,3.0,897.0,92.0
OPENJPA,3,73.92550143266476,IBk,None,OverSampling,None,0.16393442622950818,0.09900990099009901,0.676067106710671,0.051374799786439336,10.0,51.0,849.0,91.0
OPENJPA,3,73.92550143266476,RandomForest,None,UnderSampling,None,0.21052631578947367,0.7128712871287128,0.7538338833883388,0.20050272599296393,72.0,270.0,630.0,29.0
OPENJPA,3,73.92550143266476,NaiveBayes,None,UnderSampling,None,0.7692307692307693,0.19801980198019803,0.7981628162816282,0.2854399999999993,20.0,6.0,894.0,81.0
OPENJPA,3,73.92550143266476,IBk,None,UnderSampling,None,0.20241691842900303,0.6633663366336634,0.6888173817381739,0.18401947643406194,67.0,264.0,636.0,34.0
OPENJPA,3,73.92550143266476,RandomForest,None,SMOTE,None,0.22580645161290322,0.13861386138613863,0.7024477447744775,0.10292155417919663,14.0,48.0,852.0,87.0
